ID,ProductName,ProductGroup,ProductCategory
877,Product 877,Oil,Food
878,Product 878,Oil,Food
881,Product 881,Cassava starch,Food
886,Product 886,Coffee in Capsules,Food
895,Product 895,Oil,Food
896,Product 896,Oil,Food
935,Product 935,Manioc Flour,Food
965,Product 965,Powdered Milk,Food
1019,Product 1019,Coffee in Capsules,Food
1031,Product 1031,Vegetable,Food
1046,Product 1046,Sugar,Food
1048,Product 1048,Oil,Food
1049,Product 1049,Oil,Food
1057,Product 1057,Manioc Flour,Food
1073,Product 1073,Spices,Food
1074,Product 1074,Spices,Food
1082,Product 1082,Vegetable,Food
1085,Product 1085,Ground Coffee,Food
1086,Product 1086,Ground Coffee,Food
1126,Product 1126,Manioc Flour,Food
1127,Product 1127,Manioc Flour,Food
1128,Product 1128,Manioc Flour,Food
1129,Product 1129,Manioc Flour,Food
1131,Product 1131,Oil,Food
1132,Product 1132,Oil,Food
1133,Product 1133,Oil,Food
1135,Product 1135,Oil,Food
1139,Product 1139,Yeasts,Food
1150,Product 1150,Oil,Food
1151,Product 1151,Oil,Food
1152,Product 1152,Ground Coffee,Food
1154,Product 1154,Popcorn,Food
1155,Product 1155,Powdered Milk,Food
1158,Product 1158,Energy Drink,Drink
1166,Product 1166,Powdered Milk,Food
1170,Product 1170,Flour,Food
1172,Product 1172,Ground Coffee,Food
1179,Product 1179,Ground Coffee,Food
1188,Product 1188,Vegetable,Food
1204,Product 1204,Liquor,Drink
1205,Product 1205,Liquor,Drink
1206,Product 1206,Liquor,Drink
1207,Product 1207,Liquor,Drink
1210,Product 1210,Liquor,Drink
1211,Product 1211,Liquor,Drink
1212,Product 1212,Liquor,Drink
1215,Product 1215,Liquor,Drink
1216,Product 1216,Wheat Flour,Food
1224,Product 1224,Manioc Flour,Food
1226,Product 1226,Yeasts,Food
1227,Product 1227,Yeasts,Food
1231,Product 1231,Oil,Food
1232,Product 1232,Oil,Food
1234,Product 1234,Oil,Food
1235,Product 1235,Oil,Food
1236,Product 1236,Oil,Food
1244,Product 1244,Dry Wine,Drink
1258,Product 1258,Dry Wine,Drink
1259,Product 1259,Dry Wine,Drink
1260,Product 1260,Dry Wine,Drink
1303,Product 1303,Manioc Flour,Food
1339,Product 1339,Ground Coffee,Food
1372,Product 1372,Red Wine,Drink
1373,Product 1373,Red Wine,Drink
1374,Product 1374,Red Wine,Drink
1375,Product 1375,Red Wine,Drink
1376,Product 1376,Red Wine,Drink
1377,Product 1377,Red Wine,Drink
1378,Product 1378,Red Wine,Drink
1389,Product 1389,Yeasts,Food
1390,Product 1390,Energy Drink,Drink
1399,Product 1399,Yeasts,Food
1417,Product 1417,Wheat Flour,Food
1420,Product 1420,Coffee in Capsules,Food
1421,Product 1421,Coffee in Capsules,Food
1452,Product 1452,Energy Drink,Drink
1453,Product 1453,Energy Drink,Drink
1456,Product 1456,Manioc Flour,Food
1457,Product 1457,Liquor,Drink
1459,Product 1459,Liquor,Drink
1460,Product 1460,Liquor,Drink
1461,Product 1461,Liquor,Drink
1462,Product 1462,Liquor,Drink
1463,Product 1463,Liquor,Drink
1468,Product 1468,Spices,Food
1470,Product 1470,Oil,Food
1480,Product 1480,Liquor,Drink
1484,Product 1484,Oil,Food
1491,Product 1491,Vegetable,Food
1497,Product 1497,Vegetable,Food
1518,Product 1518,Spices,Food
1521,Product 1521,Coffee in Capsules,Food
1527,Product 1527,Popcorn,Food
1530,Product 1530,Spices,Food
1534,Product 1534,Wheat Flour,Food
1556,Product 1556,Yeasts,Food
1557,Product 1557,Yeasts,Food
1560,Product 1560,Coffee in Capsules,Food
1561,Product 1561,Coffee in Capsules,Food
1585,Product 1585,Yeasts,Food
1595,Product 1595,Cassava starch,Food
1596,Product 1596,Ground Coffee,Food
1597,Product 1597,Yeasts,Food
1598,Product 1598,Yeasts,Food
1599,Product 1599,Yeasts,Food
1600,Product 1600,Yeasts,Food
1602,Product 1602,Vegetable,Food
1603,Product 1603,Flour,Food
1606,Product 1606,Oil,Food
1607,Product 1607,Oil,Food
1608,Product 1608,Oil,Food
1609,Product 1609,Oil,Food
1629,Product 1629,Liquor,Drink
1630,Product 1630,Liquor,Drink
1650,Product 1650,Liquor,Drink
1651,Product 1651,Liquor,Drink
1652,Product 1652,Liquor,Drink
1653,Product 1653,Oil,Food
1658,Product 1658,Oil,Food
1659,Product 1659,Oil,Food
1660,Product 1660,Dry Wine,Drink
1661,Product 1661,Dry Wine,Drink
1662,Product 1662,Liquor,Drink
1665,Product 1665,Liquor,Drink
1667,Product 1667,Manioc Flour,Food
1679,Product 1679,Liquor,Drink
1685,Product 1685,Wheat Flour,Food
1701,Product 1701,Wheat Flour,Food
1706,Product 1706,Manioc Flour,Food
1707,Product 1707,Manioc Flour,Food
1710,Product 1710,Oil,Food
1721,Product 1721,Oil,Food
1722,Product 1722,Oil,Food
1723,Product 1723,Canned Sweet,Food
1724,Product 1724,Ground Coffee,Food
1725,Product 1725,Wheat Flour,Food
1737,Product 1737,Spices,Food
1758,Product 1758,Wheat Flour,Food
1759,Product 1759,Wheat Flour,Food
1760,Product 1760,Wheat Flour,Food
1763,Product 1763,Wheat Flour,Food
1765,Product 1765,Wheat Flour,Food
1766,Product 1766,Wheat Flour,Food
1767,Product 1767,Wheat Flour,Food
1769,Product 1769,Wheat Flour,Food
1774,Product 1774,Oil,Food
1781,Product 1781,Liquor,Drink
1782,Product 1782,Liquor,Drink
1783,Product 1783,Liquor,Drink
1787,Product 1787,Liquor,Drink
1789,Product 1789,Liquor,Drink
1790,Product 1790,Liquor,Drink
1791,Product 1791,Liquor,Drink
1792,Product 1792,Liquor,Drink
1795,Product 1795,Liquor,Drink
1796,Product 1796,Cassava starch,Food
1797,Product 1797,Liquor,Drink
1798,Product 1798,Liquor,Drink
1800,Product 1800,Liquor,Drink
1802,Product 1802,Energy Drink,Drink
1805,Product 1805,Energy Drink,Drink
1810,Product 1810,Energy Drink,Drink
1814,Product 1814,Ground Coffee,Food
1815,Product 1815,Oil,Food
1822,Product 1822,Tomato Sauce,Food
1823,Product 1823,Tomato Sauce,Food
1824,Product 1824,Coffee in Capsules,Food
1827,Product 1827,Wheat Flour,Food
1828,Product 1828,Wheat Flour,Food
1829,Product 1829,Oil,Food
1830,Product 1830,Oil,Food
1831,Product 1831,Spices,Food
1833,Product 1833,Cassava starch,Food
1834,Product 1834,Cassava starch,Food
1835,Product 1835,Wheat Flour,Food
1838,Product 1838,Coffee in Capsules,Food
1839,Product 1839,Manioc Flour,Food
1840,Product 1840,Manioc Flour,Food
1841,Product 1841,Manioc Flour,Food
1842,Product 1842,Manioc Flour,Food
1845,Product 1845,Cassava starch,Food
1846,Product 1846,Cassava starch,Food
1847,Product 1847,Cassava starch,Food
1848,Product 1848,Cassava starch,Food
1849,Product 1849,Cassava starch,Food
1850,Product 1850,Wheat Flour,Food
1853,Product 1853,Liquor,Drink
1854,Product 1854,Liquor,Drink
1855,Product 1855,Liquor,Drink
1859,Product 1859,Liquor,Drink
1861,Product 1861,Liquor,Drink
1862,Product 1862,Popcorn,Food
1863,Product 1863,Powdered Milk,Food
1864,Product 1864,Spices,Food
1869,Product 1869,Liquor,Drink
1873,Product 1873,Liquor,Drink
1874,Product 1874,Liquor,Drink
1878,Product 1878,Liquor,Drink
1884,Product 1884,Wheat Flour,Food
1885,Product 1885,Wheat Flour,Food
1887,Product 1887,Wheat Flour,Food
1888,Product 1888,Wheat Flour,Food
1889,Product 1889,Wheat Flour,Food
1890,Product 1890,Wheat Flour,Food
1891,Product 1891,Wheat Flour,Food
1892,Product 1892,Wheat Flour,Food
1893,Product 1893,Wheat Flour,Food
1894,Product 1894,Wheat Flour,Food
1902,Product 1902,Energy Drink,Drink
1916,Product 1916,Energy Drink,Drink
1918,Product 1918,Energy Drink,Drink
1920,Product 1920,Energy Drink,Drink
1924,Product 1924,Wheat Flour,Food
1925,Product 1925,Liquor,Drink
1927,Product 1927,Ground Coffee,Food
1937,Product 1937,Manioc Flour,Food
1938,Product 1938,Manioc Flour,Food
1939,Product 1939,Candy,Food
1940,Product 1940,Wheat Flour,Food
1942,Product 1942,Candy,Food
1943,Product 1943,Candy,Food
1948,Product 1948,Candy,Food
1950,Product 1950,Cassava starch,Food
1951,Product 1951,Cassava starch,Food
1963,Product 1963,Manioc Flour,Food
1965,Product 1965,Manioc Flour,Food
1966,Product 1966,Manioc Flour,Food
1967,Product 1967,Manioc Flour,Food
1968,Product 1968,Wheat Flour,Food
1971,Product 1971,Imported Wine,Drink
1972,Product 1972,Imported Wine,Drink
1973,Product 1973,Imported Wine,Drink
1976,Product 1976,Imported Wine,Drink
1978,Product 1978,Liquor,Drink
1979,Product 1979,Liquor,Drink
1981,Product 1981,Red Wine,Drink
1982,Product 1982,Red Wine,Drink
1983,Product 1983,Imported Wine,Drink
1985,Product 1985,Red Wine,Drink
1986,Product 1986,Red Wine,Drink
1987,Product 1987,Imported Wine,Drink
1988,Product 1988,Red Wine,Drink
1989,Product 1989,Red Wine,Drink
1990,Product 1990,Red Wine,Drink
1991,Product 1991,Red Wine,Drink
1993,Product 1993,Imported Wine,Drink
1995,Product 1995,Liquor,Drink
1999,Product 1999,Liquor,Drink
2003,Product 2003,Liquor,Drink
2004,Product 2004,Liquor,Drink
2011,Product 2011,Energy Drink,Drink
2022,Product 2022,Vegetable,Food
2023,Product 2023,Vegetable,Food
2024,Product 2024,Vegetable,Food
2025,Product 2025,Vegetable,Food
2026,Product 2026,Candy,Food
2041,Product 2041,Energy Drink,Drink
2042,Product 2042,Energy Drink,Drink
2046,Product 2046,Energy Drink,Drink
2047,Product 2047,Energy Drink,Drink
2049,Product 2049,Energy Drink,Drink
2050,Product 2050,Energy Drink,Drink
2052,Product 2052,Dry Wine,Drink
2053,Product 2053,Dry Wine,Drink
2054,Product 2054,Dry Wine,Drink
2055,Product 2055,Dry Wine,Drink
2056,Product 2056,Dry Wine,Drink
2057,Product 2057,Dry Wine,Drink
2058,Product 2058,Dry Wine,Drink
2059,Product 2059,Dry Wine,Drink
2060,Product 2060,Dry Wine,Drink
2061,Product 2061,Dry Wine,Drink
2062,Product 2062,Dry Wine,Drink
2063,Product 2063,Dry Wine,Drink
2064,Product 2064,Dry Wine,Drink
2065,Product 2065,Dry Wine,Drink
2066,Product 2066,Dry Wine,Drink
2067,Product 2067,Dry Wine,Drink
2068,Product 2068,Dry Wine,Drink
2069,Product 2069,Dry Wine,Drink
2070,Product 2070,Dry Wine,Drink
2072,Product 2072,Dry Wine,Drink
2073,Product 2073,Dry Wine,Drink
2074,Product 2074,Liquor,Drink
2075,Product 2075,Yeasts,Food
2076,Product 2076,Yeasts,Food
2077,Product 2077,Tomato Sauce,Food
2078,Product 2078,Tomato Sauce,Food
2079,Product 2079,Yeasts,Food
2080,Product 2080,Spices,Food
2089,Product 2089,Liquor,Drink
2090,Product 2090,Liquor,Drink
2092,Product 2092,Liquor,Drink
2093,Product 2093,Liquor,Drink
2094,Product 2094,Liquor,Drink
2095,Product 2095,Liquor,Drink
2096,Product 2096,Sugar,Food
2097,Product 2097,Sugar,Food
2098,Product 2098,Flour,Food
2099,Product 2099,Liquor,Drink
2101,Product 2101,Liquor,Drink
2102,Product 2102,Liquor,Drink
2103,Product 2103,Liquor,Drink
2104,Product 2104,Liquor,Drink
2105,Product 2105,Liquor,Drink
2106,Product 2106,Liquor,Drink
2107,Product 2107,Liquor,Drink
2108,Product 2108,Cassava starch,Food
2109,Product 2109,Liquor,Drink
2112,Product 2112,Liquor,Drink
2113,Product 2113,Liquor,Drink
2114,Product 2114,Liquor,Drink
2118,Product 2118,Liquor,Drink
2120,Product 2120,Liquor,Drink
2121,Product 2121,Liquor,Drink
2122,Product 2122,Liquor,Drink
2125,Product 2125,Liquor,Drink
2129,Product 2129,Liquor,Drink
2131,Product 2131,Liquor,Drink
2135,Product 2135,Energy Drink,Drink
2137,Product 2137,Energy Drink,Drink
2138,Product 2138,Energy Drink,Drink
2139,Product 2139,Energy Drink,Drink
2140,Product 2140,Energy Drink,Drink
2141,Product 2141,Energy Drink,Drink
2150,Product 2150,Candy,Food
2151,Product 2151,Powdered Milk,Food
2158,Product 2158,Wheat Flour,Food
2159,Product 2159,Red Wine,Drink
2160,Product 2160,Red Wine,Drink
2161,Product 2161,Oil,Food
2164,Product 2164,Vegetable,Food
2165,Product 2165,Vegetable,Food
2166,Product 2166,Oil,Food
2167,Product 2167,Wheat Flour,Food
2168,Product 2168,Vegetable,Food
2170,Product 2170,Wheat Flour,Food
2171,Product 2171,Wheat Flour,Food
2172,Product 2172,Vegetable,Food
2173,Product 2173,Cassava starch,Food
2174,Product 2174,Flour,Food
2181,Product 2181,Cassava starch,Food
2185,Product 2185,Canned Sweet,Food
2187,Product 2187,Sugar,Food
2188,Product 2188,Sugar,Food
2191,Product 2191,Red Wine,Drink
2193,Product 2193,Red Wine,Drink
2194,Product 2194,Red Wine,Drink
2197,Product 2197,Coffee in Capsules,Food
2198,Product 2198,Oil,Food
2199,Product 2199,Powdered Milk,Food
2200,Product 2200,Candy,Food
2201,Product 2201,Wheat Flour,Food
2202,Product 2202,Oil,Food
2203,Product 2203,Oil,Food
2204,Product 2204,Oil,Food
2205,Product 2205,Vegetable,Food
2208,Product 2208,Wheat Flour,Food
2209,Product 2209,Manioc Flour,Food
2210,Product 2210,Manioc Flour,Food
2211,Product 2211,Manioc Flour,Food
2212,Product 2212,Ground Coffee,Food
2214,Product 2214,Wheat Flour,Food
2215,Product 2215,Red Wine,Drink
2216,Product 2216,Imported Wine,Drink
2217,Product 2217,Imported Wine,Drink
2218,Product 2218,Imported Wine,Drink
2219,Product 2219,Red Wine,Drink
2220,Product 2220,Red Wine,Drink
2221,Product 2221,Dry Wine,Drink
2222,Product 2222,Dry Wine,Drink
2223,Product 2223,Dry Wine,Drink
2224,Product 2224,Dry Wine,Drink
2225,Product 2225,Dry Wine,Drink
2226,Product 2226,Dry Wine,Drink
2227,Product 2227,Dry Wine,Drink
2228,Product 2228,Dry Wine,Drink
2232,Product 2232,Oil,Food
2233,Product 2233,Oil,Food
2234,Product 2234,Oil,Food
2236,Product 2236,Powdered Milk,Food
2238,Product 2238,Ground Coffee,Food
2239,Product 2239,Spices,Food
2240,Product 2240,Wheat Flour,Food
2241,Product 2241,Vegetable,Food
2243,Product 2243,Vegetable,Food
2244,Product 2244,Vegetable,Food
2247,Product 2247,Tea,Drink
2248,Product 2248,Oil,Food
2249,Product 2249,Wheat Flour,Food
2250,Product 2250,Wheat Flour,Food
2251,Product 2251,Vegetable,Food
2252,Product 2252,Vegetable,Food
2253,Product 2253,Wheat Flour,Food
2255,Product 2255,Yeasts,Food
2256,Product 2256,Yeasts,Food
2257,Product 2257,Yeasts,Food
2258,Product 2258,Yeasts,Food
2259,Product 2259,Wheat Flour,Food
2261,Product 2261,Oil,Food
2262,Product 2262,Yeasts,Food
2263,Product 2263,Wheat Flour,Food
2264,Product 2264,Ground Coffee,Food
2268,Product 2268,Wheat Flour,Food
2269,Product 2269,Wheat Flour,Food
2270,Product 2270,Wheat Flour,Food
2271,Product 2271,Wheat Flour,Food
2272,Product 2272,Wheat Flour,Food
2273,Product 2273,Wheat Flour,Food
2274,Product 2274,Wheat Flour,Food
2276,Product 2276,Wheat Flour,Food
2277,Product 2277,Cassava starch,Food
2279,Product 2279,Wheat Flour,Food
2280,Product 2280,Wheat Flour,Food
2281,Product 2281,Wheat Flour,Food
2282,Product 2282,Wheat Flour,Food
2283,Product 2283,Oil,Food
2284,Product 2284,Oil,Food
2285,Product 2285,Oil,Food
2286,Product 2286,Oil,Food
2294,Product 2294,Dry Wine,Drink
2295,Product 2295,Wheat Flour,Food
2296,Product 2296,Dry Wine,Drink
2297,Product 2297,Dry Wine,Drink
2298,Product 2298,Dry Wine,Drink
2299,Product 2299,Dry Wine,Drink
2300,Product 2300,Dry Wine,Drink
2301,Product 2301,Dry Wine,Drink
2302,Product 2302,Dry Wine,Drink
2303,Product 2303,Dry Wine,Drink
2304,Product 2304,Dry Wine,Drink
2305,Product 2305,Dry Wine,Drink
2306,Product 2306,Dry Wine,Drink
2307,Product 2307,Dry Wine,Drink
2308,Product 2308,Dry Wine,Drink
2309,Product 2309,Dry Wine,Drink
2310,Product 2310,Sugar,Food
2314,Product 2314,Liquor,Drink
2315,Product 2315,Liquor,Drink
2316,Product 2316,Dry Wine,Drink
2317,Product 2317,Liquor,Drink
2318,Product 2318,Liquor,Drink
2319,Product 2319,Liquor,Drink
2320,Product 2320,Wheat Flour,Food
2321,Product 2321,Wheat Flour,Food
2322,Product 2322,Wheat Flour,Food
2323,Product 2323,Wheat Flour,Food
2325,Product 2325,Yeasts,Food
2326,Product 2326,Energy Drink,Drink
2335,Product 2335,Energy Drink,Drink
2337,Product 2337,Energy Drink,Drink
2343,Product 2343,Energy Drink,Drink
2344,Product 2344,Energy Drink,Drink
2351,Product 2351,Oil,Food
2354,Product 2354,Energy Drink,Drink
2357,Product 2357,Energy Drink,Drink
2358,Product 2358,Energy Drink,Drink
2361,Product 2361,Energy Drink,Drink
2364,Product 2364,Energy Drink,Drink
2365,Product 2365,Energy Drink,Drink
2370,Product 2370,Energy Drink,Drink
2372,Product 2372,Energy Drink,Drink
2373,Product 2373,Energy Drink,Drink
2374,Product 2374,Dry Wine,Drink
2377,Product 2377,Dry Wine,Drink
2378,Product 2378,Dry Wine,Drink
2380,Product 2380,Dry Wine,Drink
2385,Product 2385,Red Wine,Drink
2388,Product 2388,Red Wine,Drink
2389,Product 2389,Red Wine,Drink
2390,Product 2390,Red Wine,Drink
2391,Product 2391,Red Wine,Drink
2392,Product 2392,Liquor,Drink
2393,Product 2393,Liquor,Drink
2394,Product 2394,Liquor,Drink
2396,Product 2396,Liquor,Drink
2398,Product 2398,Red Wine,Drink
2399,Product 2399,Vegetable,Food
2400,Product 2400,Red Wine,Drink
2401,Product 2401,Red Wine,Drink
2402,Product 2402,Vegetable,Food
2403,Product 2403,Red Wine,Drink
2404,Product 2404,Oil,Food
2405,Product 2405,Red Wine,Drink
2406,Product 2406,Red Wine,Drink
2407,Product 2407,Red Wine,Drink
2408,Product 2408,Red Wine,Drink
2409,Product 2409,Red Wine,Drink
2410,Product 2410,Liquor,Drink
2412,Product 2412,Oil,Food
2413,Product 2413,Red Wine,Drink
2414,Product 2414,Liquor,Drink
2419,Product 2419,Liquor,Drink
2420,Product 2420,Red Wine,Drink
2422,Product 2422,Oil,Food
2423,Product 2423,Oil,Food
2425,Product 2425,Vegetable,Food
2426,Product 2426,Liquor,Drink
2427,Product 2427,Liquor,Drink
2428,Product 2428,Liquor,Drink
2429,Product 2429,Liquor,Drink
2430,Product 2430,Liquor,Drink
2431,Product 2431,Liquor,Drink
2432,Product 2432,Liquor,Drink
2433,Product 2433,Liquor,Drink
2434,Product 2434,Liquor,Drink
2435,Product 2435,Liquor,Drink
2436,Product 2436,Liquor,Drink
2437,Product 2437,Wheat Flour,Food
2439,Product 2439,Oil,Food
2443,Product 2443,Vegetable,Food
2444,Product 2444,Oil,Food
2445,Product 2445,Wheat Flour,Food
2446,Product 2446,Wheat Flour,Food
2447,Product 2447,Oil,Food
2448,Product 2448,Liquor,Drink
2449,Product 2449,Liquor,Drink
2450,Product 2450,Liquor,Drink
2452,Product 2452,Oil,Food
2458,Product 2458,Liquor,Drink
2460,Product 2460,Wheat Flour,Food
2461,Product 2461,Coffee in Capsules,Food
2463,Product 2463,Vegetable,Food
2464,Product 2464,Spices,Food
2467,Product 2467,Spices,Food
2469,Product 2469,Vegetable,Food
2472,Product 2472,Yeasts,Food
2473,Product 2473,Yeasts,Food
2474,Product 2474,Yeasts,Food
2475,Product 2475,Yeasts,Food
2476,Product 2476,Yeasts,Food
2481,Product 2481,Yeasts,Food
2482,Product 2482,Yeasts,Food
2483,Product 2483,Vegetable,Food
2484,Product 2484,Vegetable,Food
2485,Product 2485,Flour,Food
2486,Product 2486,Oil,Food
2489,Product 2489,Oil,Food
2490,Product 2490,Oil,Food
2491,Product 2491,Oil,Food
2492,Product 2492,Canned Sweet,Food
2493,Product 2493,Ground Coffee,Food
2494,Product 2494,Wheat Flour,Food
2496,Product 2496,Wheat Flour,Food
2501,Product 2501,Vegetable,Food
2502,Product 2502,Spices,Food
2503,Product 2503,Cassava starch,Food
2504,Product 2504,Yeasts,Food
2505,Product 2505,Yeasts,Food
2506,Product 2506,Cassava starch,Food
2507,Product 2507,Cassava starch,Food
2508,Product 2508,Cassava starch,Food
2509,Product 2509,Cassava starch,Food
2510,Product 2510,Cassava starch,Food
2511,Product 2511,Yeasts,Food
2512,Product 2512,Sugar,Food
2513,Product 2513,Yeasts,Food
2514,Product 2514,Yeasts,Food
2515,Product 2515,Sugar,Food
2516,Product 2516,Yeasts,Food
2517,Product 2517,Wheat Flour,Food
2519,Product 2519,Oil,Food
2520,Product 2520,Yeasts,Food
2521,Product 2521,Yeasts,Food
2522,Product 2522,Cassava starch,Food
2524,Product 2524,Wheat Flour,Food
2525,Product 2525,Wheat Flour,Food
2526,Product 2526,Oil,Food
2527,Product 2527,Spices,Food
2530,Product 2530,Flour,Food
2531,Product 2531,Sugar,Food
2533,Product 2533,Wheat Flour,Food
2534,Product 2534,Candy,Food
2535,Product 2535,Wheat Flour,Food
2536,Product 2536,Popcorn,Food
2538,Product 2538,Wheat Flour,Food
2542,Product 2542,Flour,Food
2543,Product 2543,Spices,Food
2545,Product 2545,Candy,Food
2547,Product 2547,Coffee in Capsules,Food
2549,Product 2549,Wheat Flour,Food
2551,Product 2551,Wheat Flour,Food
2552,Product 2552,Coffee in Capsules,Food
2554,Product 2554,Yeasts,Food
2556,Product 2556,Yeasts,Food
2557,Product 2557,Yeasts,Food
2558,Product 2558,Yeasts,Food
2560,Product 2560,Vegetable,Food
2563,Product 2563,Wheat Flour,Food
2567,Product 2567,Wheat Flour,Food
2570,Product 2570,Wheat Flour,Food
2571,Product 2571,Oil,Food
2573,Product 2573,Vegetable,Food
2574,Product 2574,Oil,Food
2575,Product 2575,Vegetable,Food
2577,Product 2577,Oil,Food
2578,Product 2578,Sugar,Food
2583,Product 2583,Oil,Food
2584,Product 2584,Vegetable,Food
2585,Product 2585,Vegetable,Food
2586,Product 2586,Candy,Food
2589,Product 2589,Sugar,Food
2590,Product 2590,Sugar,Food
2591,Product 2591,Sugar,Food
2592,Product 2592,Wheat Flour,Food
2593,Product 2593,Oil,Food
2594,Product 2594,Oil,Food
2595,Product 2595,Oil,Food
2596,Product 2596,Oil,Food
2597,Product 2597,Tomato Sauce,Food
2598,Product 2598,Tomato Sauce,Food
2601,Product 2601,Wheat Flour,Food
2602,Product 2602,Wheat Flour,Food
2603,Product 2603,Liquor,Drink
2604,Product 2604,Liquor,Drink
2605,Product 2605,Yeasts,Food
2606,Product 2606,Yeasts,Food
2607,Product 2607,Wheat Flour,Food
2608,Product 2608,Wheat Flour,Food
2609,Product 2609,Ground Coffee,Food
2611,Product 2611,Vegetable,Food
2612,Product 2612,Vegetable,Food
2613,Product 2613,Vegetable,Food
2614,Product 2614,Sugar,Food
2615,Product 2615,Sugar,Food
2619,Product 2619,Oil,Food
2620,Product 2620,Oil,Food
2621,Product 2621,Oil,Food
2622,Product 2622,Oil,Food
2623,Product 2623,Canned Sweet,Food
2624,Product 2624,Oil,Food
2626,Product 2626,Oil,Food
2627,Product 2627,Oil,Food
2633,Product 2633,Vegetable,Food
2635,Product 2635,Sugar,Food
2636,Product 2636,Wheat Flour,Food
2637,Product 2637,Wheat Flour,Food
2638,Product 2638,Wheat Flour,Food
2639,Product 2639,Wheat Flour,Food
2640,Product 2640,Candy,Food
2641,Product 2641,Vegetable,Food
2642,Product 2642,Red Wine,Drink
2643,Product 2643,Red Wine,Drink
2645,Product 2645,Yeasts,Food
2646,Product 2646,Yeasts,Food
2647,Product 2647,Oil,Food
